Property ID,Category,Maintained By,Name,Ward Number,Address,Unique ID
1000450101365,BURIAL GROUND,CORPORATION,BURIAL GROUND,45,NARAYANASAMY LAYOUT,1000450400001
1000450101110,MARRIAGE HALL,PRIVATE,GIRINATH MARRIAGE HALL,45,KANNAN NAGAR,1000450400002
1000450100068,GODOWN,PRIVATE,WASTE GODOWN,45,BALAJI LAYOUT,1000450400003
1000450101052,HOSPITAL,STATE,VETERINARY HOSPITAL,45,KANARAJAPUR 3RD STREET,1000450400004
1000490100012,PARK,CORPORATION,CORPORATION PARK,49,MARUTHAKUTTI STREET,1000490400003
1000490100087,PARK,CORPORATION,CORPORATION PARK,49,MARUTHAKUTTI STREET,1000490400002
1000490100531,HOSPITAL,CORPORATION,DISPENSARY,49,SAMPATH STREET,1000490400001
1000480101303,BURIAL GROUND,CORPORATION,BURIAL GROUND,48,LAKSHMIPURAM MAIN ROAD EXTENSION,1000480400002
1000480100006,HOSPITAL,PRIVATE,SRI SINDHU HOSPITAL,48,BALASUNDARAM STREET,1000480400001
1000500100098,HOSPITAL,PRIVATE,M R HOSPITAL,50,DR.SIVANANDA NAGAR,1000500400001
1000500100096,HOSPITAL,PRIVATE,METRO HEART CENTRE,50,DR.SIVANANDA NAGAR,1000500400002
1000500100867,HOSPITAL,PRIVATE,SHEELA CLINIC,50,TATABAD STREET 1,1000500400003
1000500100115,HOSPITAL,PRIVATE,SENGOTTAYAN HOSPITAL,50,TATABAD STREET 2,1000500400004
1000500100674,HOSPITAL,PRIVATE,SENGOTTAYAN HOSPITAL,50,DR.RADHAKRISHNAN ROAD,1000500400005
1000500100036,MARRIAGE HALL,PRIVATE,KARANATAKA ASSOCIATION KALYANA MANDAPAM,50,DR.RADHAKRISHNAN ROAD,1000500400006
1000500100958,PARK,CORPORATION,CORPORATION PARK,50,RAJU NAIDU ROAD,1000500400007
1000510100833,PARK,CORPORATION,SEM MOZHI PARK,51,SWARNAMBIKA LAYOUT,1000510400031
1000510100601,HOSPITAL,STATE,EMPLOYEES STATE INSURANCE DISPENSARY,51,LAJAPATHI RAI STREET,1000510400030
1000510101493,HOSPITAL,PRIVATE,KOVAI SCAN CENTRE,51,DR ALAGAPPA CHETTIYAR ROAD,1000510400029
1000510100955,HOSPITAL,PRIVATE,CSR HOSPITAL,51,GANDHIPURAM 7TH STREET EXTENSION,1000510400028
1000510100724,HOSPITAL,PRIVATE,KRISHNA NURSING HOSPITAL,51,SWARNAMBIKA LAYOUT,1000510400027
1000510100725,HOSPITAL,PRIVATE,GANGA HOSPITAL,51,SWARNAMBIKA LAYOUT,1000510400026
1000510100603,HOSPITAL,CORPORATION,CORPORATION HOSPITAL,51,KALINGARAYAN STREET,1000510400025
1000510100269,HOSPITAL,PRIVATE,JEEVAN CLINIC HOSPITAL,51,GANDHIPURAM 5TH STREET,1000510400024
1000510100250,HOSPITAL,PRIVATE,CLARITY IMAGING CENTRE,51,GOKULE STREET,1000510400023
1000510100721,HOSPITAL,PRIVATE,SK PHARMACY,51,SWARNAMBIKA LAYOUT,1000510400022
1000510101527,HOSPITAL,PRIVATE,LALITHA HOSPITAL,51,PONNAY STREET,1000510400021
1000510100762,HOSPITAL,PRIVATE,SHEELA CLINIC,51,POWER HOUSE ROAD,1000510400020
1000510100343,HOSPITAL,PRIVATE,V G HOSPITAL,51,GANDHIPURAM 9TH STREET,1000510400019
1000510100761,HOSPITAL,PRIVATE,KONGUNADU HOSPITAL,51,TATABAD 11TH STREET,1000510400018
1000510100773,HOSPITAL,PRIVATE,KONGUNADU HOSPITAL,51,TATABAD 11TH STREET,1000510400017
1000510101264,HOSPITAL,PRIVATE,KONGU NADU HOSPITAL HOSTEL,51,TATABAD 9TH STREET,1000510400016
1000510101684,HOSPITAL,PRIVATE,GANGA HOSPITAL HOSTEL,51,PONNAY STREET,1000510400015
1000510101116,HOSPITAL,PRIVATE,SHEELA HOSPITAL,51,DR RAJENDRAPRASAD ROAD,1000510400014
1000510101491,HOSPITAL,PRIVATE,ARYA VAISA SALAI,51,DR RAJENDRAPRASAD ROAD,1000510400013
1000510100628,HOSPITAL,PRIVATE,WOMEN & CHILD CARE HOSPITAL,51,DR RAJENDRAPRASAD ROAD,1000510400012
1000510100797,HOSPITAL,PRIVATE,MEENA EYE HOSPITAL,51,VIVEKANANDA ROAD,1000510400011
1000510100458,HOSPITAL,PRIVATE,VIVEKS HOSPITAL,51,DR RAJENDRAPRASAD ROAD,1000510400010
1000510100865,HOSPITAL,PRIVATE,VIVEKS HOSPITAL,51,DR RAJENDRAPRASAD ROAD,1000510400009
1000510100424,HOSPITAL,PRIVATE,THE BALAKRISHNA HOSPITAL,51,DR RAJENDRAPRASAD ROAD,1000510400008
1000510100811,HOSPITAL,PRIVATE,KMCH DENTAL HOSPITAL,51,VIVEKANANDA ROAD,1000510400007
1000510100815,HOSPITAL,PRIVATE,KMCH DIAGNOSTIC HOSPITAL,51,VIVEKANANDA ROAD,1000510400006
1000510101683,HOSPITAL,PRIVATE,S P T HOSPITAL,51,VIVEKANANDA ROAD,1000510400005
1000510101018,HOSPITAL,STATE,EMPLOYEES STATE INSURANCE DISPENSARY,51,DR RADHAKRISHNAN ROAD,1000510400004
1000510101509,HOSPITAL,PRIVATE,WOMENS CLINIC AND SCAN CENTRE,51,SN DAS LAYOUT 3,1000510400003
1000510100605,MARRIAGE HALL,CORPORATION,CORPORATION MARRIAGE HALL,51,LAJAPATHI RAI STREET,1000510400002
1000510100602,DAILY MARKET,CORPORATION,CORPORATION MARKET,51,KALINGARAYAN STREET,1000510400001
1000520100603,MARRIAGE HALL,PRIVATE,BAYER ARULTHANTHAI MANDABAM,52,LAKSHMAN NAGAR 2ND STREET,1000520400015
1000520100769,HOSPITAL,PRIVATE,NANDHA HOSPITAL,52,BHARATHIYAR ROAD,1000520400014
1000520100769,HOSPITAL,PRIVATE,N P CLINIC,52,N.G.NARAYANASWAMY STREET,1000520400013
1000520100835,GODOWN,PRIVATE,GODOWN,52,THIRUVALLUVAR STREET,1000520400012
1000520100990,GODOWN,PRIVATE,GODOWN,52,N.V.N LAYOUT,1000520400011
1000520100981,HOSPITAL,PRIVATE,SHIRALAYA CLINIC,52,VENKATASWAMY  ROAD,1000520400010
1000520101027,BUS STAND,STATE,THIRUVALLUVAR TRANSPORT,52,BHARATHIYAR ROAD,1000520400009
1000520100848,COMMUNITY HALL,PRIVATE,RENORATED COMMUNITY HALL,52,VENKATASWAMY  ROAD,1000520400008
1000520101031,HOSPITAL,PRIVATE,T S HOSPITAL,52,N.V.N LAYOUT,1000520400007
